episodes,final_success_rate,final_mean_return,final_mean_steps,final_mean_wall_hits,final_mean_penalty_entries,epsilon_schedule,seed,episodes_to_80pct
1200.0,1.0,116.03479999999999,38.54,4.37,1.655,exponential,5,391.0
1200.0,1.0,119.33300000000001,41.99,5.33,0.855,exponential,15,493.0
1200.0,1.0,115.51320000000001,40.92,4.99,1.48,exponential,25,459.0
1200.0,0.995,116.95275000000001,38.615,4.285,1.455,exponential,35,397.0
1200.0,1.0,116.43545000000002,36.935,4.3,1.715,exponential,45,359.0
1200.0,1.0,116.75104999999999,35.8,4.885,1.545,linear,5,529.0
1200.0,1.0,123.58775000000001,37.69,4.27,0.675,linear,15,461.0
1200.0,1.0,116.2041,35.465,4.72,1.69,linear,25,485.0
1200.0,1.0,121.79719999999999,37.345,4.9,0.75,linear,35,465.0
1200.0,1.0,117.57755000000002,34.865,3.73,1.685,linear,45,470.0
