algorithm,episode,return,steps,success,epsilon,wall_hits,penalty_entries,locked_door_attempts,gate_blocks,key_collected,door_crossings,seed,epsilon_schedule,reward_mode
q_learning,0,-462.51000000000096,441,0,1.0,135,20,0,2,1,6,5,linear,shaping
q_learning,1,-472.92000000000075,441,0,0.9990996284782774,165,16,0,0,1,3,5,linear,shaping
q_learning,2,-394.4700000000005,441,0,0.9981992569565548,131,11,3,0,1,0,5,linear,shaping
q_learning,3,-437.40000000000106,441,0,0.997298885434832,150,15,0,0,1,0,5,linear,shaping
q_learning,4,-462.0100000000013,441,0,0.9963985139131094,122,25,0,0,1,0,5,linear,shaping
q_learning,5,-420.60999999999916,441,0,0.9954981423913868,159,10,0,0,1,5,5,linear,shaping
q_learning,6,-493.97999999999985,441,0,0.9945977708696642,152,18,0,4,1,2,5,linear,shaping
q_learning,7,-402.7300000000008,441,0,0.9936973993479414,140,13,0,0,1,1,5,linear,shaping
q_learning,8,-417.90000000000043,441,0,0.9927970278262188,149,12,0,0,1,0,5,linear,shaping
q_learning,9,-275.6000000000002,411,1,0.9918966563044962,134,11,0,1,1,5,5,linear,shaping
q_learning,10,-425.2899999999992,441,0,0.9909962847827736,139,16,0,0,1,1,5,linear,shaping
q_learning,11,-357.9600000000007,441,0,0.9900959132610508,134,5,0,0,1,9,5,linear,shaping
q_learning,12,-428.70000000000005,441,0,0.9891955417393282,145,15,0,0,1,0,5,linear,shaping
q_learning,13,-406.70000000000084,441,0,0.9882951702176056,148,11,0,0,1,4,5,linear,shaping
q_learning,14,-432.84000000000106,441,0,0.987394798695883,148,15,0,0,1,0,5,linear,shaping
q_learning,15,-397.60000000000116,441,0,0.9864944271741602,155,7,0,0,1,4,5,linear,shaping
q_learning,16,-301.7600000000005,441,0,0.9855940556524376,114,4,0,0,1,2,5,linear,shaping
q_learning,17,-389.63000000000045,441,0,0.984693684130715,127,12,0,0,1,5,5,linear,shaping
q_learning,18,-232.3400000000006,329,1,0.9837933126089924,106,15,0,1,1,1,5,linear,shaping
q_learning,19,-384.70000000000056,441,0,0.9828929410872697,154,6,0,0,1,4,5,linear,shaping
q_learning,20,-413.9800000000002,441,0,0.981992569565547,184,4,0,0,1,0,5,linear,shaping
q_learning,21,-325.64000000000044,441,0,0.9810921980438244,146,0,0,0,1,3,5,linear,shaping
q_learning,22,-360.51000000000124,441,0,0.9801918265221018,132,9,0,0,1,0,5,linear,shaping
q_learning,23,-249.42999999999998,441,0,0.9792914550003791,96,1,0,0,1,0,5,linear,shaping
q_learning,24,-455.6600000000011,441,0,0.9783910834786564,113,26,0,0,1,0,5,linear,shaping
q_learning,25,-355.17999999999944,441,0,0.9774907119569338,145,4,0,0,1,0,5,linear,shaping
q_learning,26,-419.51000000000056,441,0,0.9765903404352112,104,22,0,0,1,0,5,linear,shaping
q_learning,27,-271.7899999999999,441,0,0.9756899689134885,104,1,0,0,1,0,5,linear,shaping
q_learning,28,-442.69000000000096,441,0,0.9747895973917658,104,26,0,0,1,0,5,linear,shaping
q_learning,29,-414.8200000000001,441,0,0.9738892258700432,136,14,0,0,1,4,5,linear,shaping
q_learning,30,-308.82000000000033,441,0,0.9729888543483206,100,8,0,0,1,0,5,linear,shaping
q_learning,31,-388.96999999999997,441,0,0.9720884828265979,164,3,0,0,1,2,5,linear,shaping
q_learning,32,-473.33000000000123,441,0,0.9711881113048753,128,23,0,0,1,7,5,linear,shaping
q_learning,33,-416.1599999999997,441,0,0.9702877397831526,149,10,0,0,1,2,5,linear,shaping
q_learning,34,-314.78000000000037,441,0,0.96938736826143,108,7,0,0,1,3,5,linear,shaping
q_learning,35,-470.6300000000007,441,0,0.9684869967397073,150,20,0,0,1,0,5,linear,shaping
q_learning,36,-413.8100000000012,441,0,0.9675866252179847,168,8,0,0,1,0,5,linear,shaping
q_learning,37,-419.75000000000097,441,0,0.966686253696262,155,7,0,1,1,7,5,linear,shaping
q_learning,38,-460.46000000000106,441,0,0.9657858821745394,136,21,0,0,1,0,5,linear,shaping
q_learning,39,-253.9999999999998,441,0,0.9648855106528167,95,1,0,0,1,1,5,linear,shaping
q_learning,40,-397.34,441,0,0.9639851391310941,113,18,0,0,1,0,5,linear,shaping
q_learning,41,-384.660000000001,441,0,0.9630847676093715,151,7,0,0,1,0,5,linear,shaping
q_learning,42,-421.09999999999997,441,0,0.9621843960876488,127,18,0,0,1,0,5,linear,shaping
q_learning,43,-269.1100000000003,441,0,0.9612840245659262,94,3,0,0,1,2,5,linear,shaping
q_learning,44,-486.00000000000006,441,0,0.9603836530442035,144,24,0,0,1,0,5,linear,shaping
q_learning,45,-418.9900000000003,441,0,0.9594832815224809,153,12,0,0,1,0,5,linear,shaping
q_learning,46,-415.3299999999999,441,0,0.9585829100007582,186,2,0,0,1,8,5,linear,shaping
q_learning,47,-381.26999999999936,441,0,0.9576825384790355,173,2,0,0,1,1,5,linear,shaping
q_learning,48,-414.69999999999953,441,0,0.9567821669573129,143,11,0,0,1,3,5,linear,shaping
q_learning,49,-421.36000000000007,441,0,0.9558817954355903,136,16,0,0,1,1,5,linear,shaping
q_learning,50,-367.7999999999997,441,0,0.9549814239138676,130,7,0,0,1,1,5,linear,shaping
q_learning,51,-301.04000000000025,441,0,0.954081052392145,113,4,0,0,1,0,5,linear,shaping
q_learning,52,-294.7500000000003,441,0,0.9531806808704223,117,2,0,0,1,3,5,linear,shaping
q_learning,53,-345.41999999999973,441,0,0.9522803093486997,121,7,0,0,1,5,5,linear,shaping
q_learning,54,-482.2400000000011,441,0,0.951379937826977,150,21,0,0,1,1,5,linear,shaping
q_learning,55,-356.71,441,0,0.9504795663052544,136,6,0,0,1,1,5,linear,shaping
q_learning,56,-471.99000000000063,441,0,0.9495791947835317,127,24,0,0,1,4,5,linear,shaping
q_learning,57,-334.6000000000001,441,0,0.9486788232618091,138,3,0,0,1,4,5,linear,shaping
q_learning,58,-387.8899999999998,441,0,0.9477784517400865,137,12,0,0,1,0,5,linear,shaping
q_learning,59,-441.7400000000009,441,0,0.9468780802183638,136,18,0,0,1,5,5,linear,shaping
q_learning,60,-61.29999999999991,177,1,0.9459777086966411,53,9,0,0,1,5,5,linear,shaping
q_learning,61,-153.18999999999988,283,1,0.9450773371749185,105,4,0,0,1,2,5,linear,shaping
q_learning,62,-409.2800000000001,441,0,0.9441769656531959,130,15,0,0,1,2,5,linear,shaping
q_learning,63,-419.0499999999997,441,0,0.9432765941314732,122,19,0,0,1,0,5,linear,shaping
