algorithm,episode,return,steps,success,epsilon,wall_hits,penalty_entries,locked_door_attempts,gate_blocks,key_collected,door_crossings,seed,epsilon_schedule,reward_mode
q_learning,0,-542.5,441,0,1.0,135,20,0,2,1,6,5,exponential,sparse
q_learning,1,-556.5,441,0,0.9971647931007296,165,16,0,0,1,3,5,exponential,sparse
q_learning,2,-500.5,441,0,0.9943376245996208,130,14,3,0,1,0,5,exponential,sparse
q_learning,3,-509.5,441,0,0.9915184717061518,118,16,0,0,0,0,5,exponential,sparse
q_learning,4,-460.0,441,0,0.9887073116944165,153,5,0,0,1,1,5,exponential,sparse
q_learning,5,-459.5,441,0,0.9859041219029414,133,9,0,1,1,3,5,exponential,sparse
q_learning,6,-530.0,441,0,0.983108879734503,138,18,0,0,1,1,5,exponential,sparse
q_learning,7,-426.5,441,0,0.9803215626559457,112,9,0,0,1,0,5,exponential,sparse
q_learning,8,-483.0,441,0,0.977542148198,117,16,0,0,1,0,5,exponential,sparse
q_learning,9,-510.0,441,0,0.9747706139551015,134,16,0,0,1,1,5,exponential,sparse
q_learning,10,-455.5,441,0,0.9720069375852098,122,11,0,0,1,0,5,exponential,sparse
q_learning,11,-495.0,441,0,0.9692510968096296,181,4,0,0,1,8,5,exponential,sparse
q_learning,12,-497.0,441,0,0.9665030694128295,130,15,0,0,1,0,5,exponential,sparse
q_learning,13,-480.0,441,0,0.9637628332422642,129,13,0,0,1,0,5,exponential,sparse
q_learning,14,-416.5,441,0,0.9610303662081954,124,5,0,0,1,0,5,exponential,sparse
q_learning,15,-501.0,441,0,0.9583056462835134,155,10,0,2,1,3,5,exponential,sparse
q_learning,16,-519.5,441,0,0.9555886515035606,160,12,0,0,1,0,5,exponential,sparse
q_learning,17,-448.0,441,0,0.9528793599659533,116,11,0,0,1,0,5,exponential,sparse
q_learning,18,-341.0,439,1,0.9501777498304054,144,7,0,1,1,2,5,exponential,sparse
q_learning,19,-433.0,441,0,0.947483799318553,148,2,0,0,1,4,5,exponential,sparse
q_learning,20,-494.0,441,0,0.9447974867137781,129,15,0,0,1,0,5,exponential,sparse
q_learning,21,-469.0,441,0,0.9421187903610339,145,8,0,0,1,0,5,exponential,sparse
q_learning,22,-518.0,441,0,0.9394476886666699,159,12,0,0,1,1,5,exponential,sparse
q_learning,23,-519.5,441,0,0.9367841600982586,103,24,0,0,1,0,5,exponential,sparse
q_learning,24,-399.0,441,0,0.9341281831844207,116,4,0,0,1,0,5,exponential,sparse
q_learning,25,-547.0,441,0,0.9314797365146533,113,26,0,0,1,2,5,exponential,sparse
q_learning,26,-477.5,441,0,0.9288387987391564,118,15,0,0,1,0,5,exponential,sparse
q_learning,27,-431.0,441,0,0.9262053485686611,129,6,0,0,1,2,5,exponential,sparse
q_learning,28,-497.5,441,0,0.9235793647742581,150,11,0,0,1,3,5,exponential,sparse
q_learning,29,-456.5,441,0,0.9209608261872263,103,15,0,0,1,0,5,exponential,sparse
