run_id,algorithm,variant,seed,reward_mode,map_kind,runtime_seconds,total_samples,bellman_backups,memory_bytes,final_window_success_rate,final_window_return_mean,final_window_return_std,policy_agreement_percent,eval_episodes,eval_base_seed,eval_success_rate,eval_mean_return,eval_std_return,eval_mean_steps,eval_mean_wall_collisions,eval_mean_penalty_entries,episodes_to_success_threshold,samples_to_success_threshold
vi_shaped_reference,value_iteration,gamma_0.95,-1,shaped,source,4.81632374199944,0,60480.0,20992,,,,100.0,200,9005,1.0,93.86137500000001,13.345914121347214,29.37,2.43,0.565,,
q_shaped_linear_seed_5,q_learning,linear,5,shaped,source,16.171413959998972,320720,,20480,1.0,95.99262499999999,11.736392266019188,85.71428571428571,200,9005,1.0,93.7931875,13.568372852744492,29.41,2.45,0.56,476.0,155011.0
q_shaped_linear_seed_17,q_learning,linear,17,shaped,source,16.00095130599948,314214,,20480,1.0,93.4495,13.695814360599373,82.14285714285714,200,9005,1.0,93.92225000000002,13.282788684986295,29.44,2.45,0.545,480.0,154131.0
q_shaped_linear_seed_29,q_learning,linear,29,shaped,source,16.281548004999422,312894,,20480,1.0,94.34025,13.587989363312735,87.5,200,9005,1.0,93.52525000000001,13.612503154269604,29.565,2.335,0.625,453.0,145327.0
q_shaped_linear_seed_41,q_learning,linear,41,shaped,source,15.936087682999641,318339,,20480,1.0,95.866625,11.853188265056579,86.30952380952381,200,9005,1.0,94.057375,13.04952275169,29.39,2.44,0.54,467.0,154039.0
q_shaped_linear_seed_53,q_learning,linear,53,shaped,source,16.27257335000104,316188,,20480,1.0,94.91262499999999,13.907637458313147,83.33333333333333,200,9005,1.0,94.18081249999999,12.901020240511745,29.365,2.465,0.52,472.0,153345.0
q_shaped_linear_seed_65,q_learning,linear,65,shaped,source,17.473064862000683,320834,,20480,1.0,94.609125,15.240730672178252,86.30952380952381,200,9005,1.0,93.6975625,13.453482047962295,29.46,2.44,0.57,455.0,148879.0
q_shaped_linear_seed_77,q_learning,linear,77,shaped,source,16.034609031999935,316060,,20480,1.0,92.011125,13.677072728543742,86.30952380952381,200,9005,1.0,93.95768749999999,12.850882367413288,29.36,2.46,0.545,459.0,148763.0
q_shaped_linear_seed_89,q_learning,linear,89,shaped,source,15.970566514000893,313122,,20480,1.0,95.812875,12.81250347012148,83.92857142857143,200,9005,1.0,93.8856875,13.640690472208277,29.245,2.515,0.54,451.0,147559.0
q_shaped_linear_seed_101,q_learning,linear,101,shaped,source,15.772110081999926,312304,,20480,1.0,96.28825,13.38476498906499,84.52380952380952,200,9005,1.0,94.0253125,12.966922066207298,29.39,2.46,0.535,456.0,145537.0
q_shaped_linear_seed_113,q_learning,linear,113,shaped,source,15.704119942998659,312327,,20480,1.0,93.76337500000001,13.984715010391703,84.52380952380952,200,9005,1.0,92.93862500000002,12.152974828077074,31.42,2.63,0.405,461.0,148208.0
q_shaped_exponential_seed_5,q_learning,exponential,5,shaped,source,9.987529906000418,169713,,20480,1.0,93.47387499999999,15.178925161119775,82.14285714285714,200,9005,1.0,93.68618750000002,13.55894298963211,29.38,2.46,0.57,182.0,54656.0
q_shaped_exponential_seed_17,q_learning,exponential,17,shaped,source,10.109563497000636,168990,,20480,1.0,93.10212499999996,15.662193837290962,80.35714285714286,200,9005,1.0,93.88950000000001,13.08226396213591,29.4,2.48,0.54,195.0,55801.0
q_shaped_exponential_seed_29,q_learning,exponential,29,shaped,source,9.961569261000477,173272,,20480,1.0,94.34774999999999,15.279574333485211,86.30952380952381,200,9005,1.0,93.571875,13.427818532690816,29.51,2.36,0.615,200.0,59683.0
q_shaped_exponential_seed_41,q_learning,exponential,41,shaped,source,9.806384154000625,170626,,20480,1.0,92.09925000000003,13.870112181864283,79.16666666666667,200,9005,1.0,92.7225,12.539818953039154,31.525,2.685,0.395,197.0,56375.0
q_shaped_exponential_seed_53,q_learning,exponential,53,shaped,source,9.99908337799934,173323,,20480,1.0,94.46474999999998,14.405946838458762,80.35714285714286,200,9005,1.0,93.910625,13.560267140505564,29.31,2.52,0.53,195.0,58587.0
q_shaped_exponential_seed_65,q_learning,exponential,65,shaped,source,9.798111546000655,172328,,20480,1.0,95.87487500000002,15.726442649940735,78.57142857142857,200,9005,1.0,93.8928125,13.007549276616011,29.395,2.455,0.55,185.0,54881.0
q_shaped_exponential_seed_77,q_learning,exponential,77,shaped,source,9.60211150699979,169582,,20480,1.0,91.27825000000001,13.795777956951175,80.95238095238095,200,9005,1.0,93.93,13.51428885013932,29.455,2.445,0.545,198.0,57324.0
