algorithm,lambda,episode,return,steps,success,epsilon,wall_hits,penalty_entries,gate_blocks,seed,lambda_label
sarsa_lambda,0.0,0,-462.51000000000096,441,0,1.0,135,20,2,5,lambda=0.0
sarsa_lambda,0.0,1,-472.92000000000075,441,0,0.9971647931007296,165,16,0,5,lambda=0.0
sarsa_lambda,0.0,2,-412.2399999999998,441,0,0.9943376245996208,130,14,0,5,lambda=0.0
sarsa_lambda,0.0,3,-365.2700000000004,441,0,0.9915184717061518,136,9,0,5,lambda=0.0
sarsa_lambda,0.0,4,-340.44000000000085,441,0,0.9887073116944165,108,11,0,5,lambda=0.0
sarsa_lambda,0.0,5,-413.2399999999997,441,0,0.9859041219029414,134,16,0,5,lambda=0.0
sarsa_lambda,0.0,6,-398.04999999999916,441,0,0.983108879734503,159,7,0,5,lambda=0.0
sarsa_lambda,0.0,7,-378.4399999999997,441,0,0.9803215626559457,136,11,0,5,lambda=0.0
sarsa_lambda,0.0,8,-447.8400000000002,441,0,0.977542148198,138,20,0,5,lambda=0.0
sarsa_lambda,0.0,9,-380.6499999999994,441,0,0.9747706139551015,125,13,0,5,lambda=0.0
sarsa_lambda,0.0,10,-295.72,441,0,0.9720069375852098,109,4,0,5,lambda=0.0
sarsa_lambda,0.0,11,-380.030000000001,441,0,0.9692510968096296,153,6,0,5,lambda=0.0
sarsa_lambda,0.0,12,-384.74000000000115,441,0,0.9665030694128295,143,9,0,5,lambda=0.0
sarsa_lambda,0.0,13,-308.07000000000016,441,0,0.9637628332422642,142,0,0,5,lambda=0.0
sarsa_lambda,0.0,14,-496.7100000000003,441,0,0.9610303662081954,194,7,3,5,lambda=0.0
sarsa_lambda,0.0,15,-398.2300000000004,441,0,0.9583056462835134,126,15,0,5,lambda=0.0
sarsa_lambda,0.0,16,-332.85000000000014,441,0,0.9555886515035606,141,2,0,5,lambda=0.0
sarsa_lambda,0.0,17,-417.3500000000002,441,0,0.9528793599659533,142,12,0,5,lambda=0.0
sarsa_lambda,0.0,18,-411.18999999999926,441,0,0.9501777498304054,150,12,0,5,lambda=0.0
sarsa_lambda,0.0,19,-391.3900000000003,441,0,0.947483799318553,108,16,0,5,lambda=0.0
sarsa_lambda,0.0,20,-384.25000000000085,441,0,0.9447974867137781,123,13,0,5,lambda=0.0
sarsa_lambda,0.0,21,-389.24999999999966,441,0,0.9421187903610339,133,12,0,5,lambda=0.0
sarsa_lambda,0.0,22,-441.8700000000015,441,0,0.9394476886666699,158,8,3,5,lambda=0.0
sarsa_lambda,0.0,23,-434.0599999999992,441,0,0.9367841600982586,154,10,0,5,lambda=0.0
sarsa_lambda,0.0,24,-310.10999999999933,441,0,0.9341281831844207,110,5,0,5,lambda=0.0
sarsa_lambda,0.0,25,-415.1199999999999,441,0,0.9314797365146533,142,11,0,5,lambda=0.0
sarsa_lambda,0.0,26,-482.3300000000003,441,0,0.9288387987391564,147,19,0,5,lambda=0.0
sarsa_lambda,0.0,27,-341.05000000000086,441,0,0.9262053485686611,150,1,0,5,lambda=0.0
sarsa_lambda,0.0,28,-445.1399999999999,441,0,0.9235793647742581,115,19,1,5,lambda=0.0
sarsa_lambda,0.0,29,-422.95,441,0,0.9209608261872263,147,9,0,5,lambda=0.0
sarsa_lambda,0.0,30,-328.12,441,0,0.9183497116988625,117,6,0,5,lambda=0.0
sarsa_lambda,0.0,31,-480.780000000001,441,0,0.9157460002603108,126,26,0,5,lambda=0.0
sarsa_lambda,0.0,32,-410.24000000000115,441,0,0.9131496708823935,145,11,0,5,lambda=0.0
sarsa_lambda,0.0,33,-367.9999999999999,441,0,0.9105607026354413,119,11,0,5,lambda=0.0
sarsa_lambda,0.0,34,-288.78000000000014,441,0,0.9079790746491248,85,8,0,5,lambda=0.0
sarsa_lambda,0.0,35,-387.35000000000053,441,0,0.9054047661122864,160,4,2,5,lambda=0.0
sarsa_lambda,0.0,36,-376.85999999999996,441,0,0.9028377562727725,142,7,0,5,lambda=0.0
sarsa_lambda,0.0,37,-389.46000000000026,441,0,0.9002780244372661,133,9,0,5,lambda=0.0
sarsa_lambda,0.0,38,-84.82999999999971,212,1,0.8977255499711201,78,5,0,5,lambda=0.0
sarsa_lambda,0.0,39,-401.9900000000005,441,0,0.8951803122981906,125,15,0,5,lambda=0.0
sarsa_lambda,0.0,40,-389.55000000000007,441,0,0.8926422909006717,111,16,0,5,lambda=0.0
sarsa_lambda,0.0,41,-338.45999999999987,441,0,0.8901114653189296,107,9,0,5,lambda=0.0
sarsa_lambda,0.0,42,-318.41000000000025,441,0,0.8875878151513377,96,9,0,5,lambda=0.0
sarsa_lambda,0.0,43,-178.9299999999999,354,1,0.8850713200541123,116,2,0,5,lambda=0.0
sarsa_lambda,0.0,44,-309.07999999999987,441,0,0.8825619597411484,88,7,1,5,lambda=0.0
sarsa_lambda,0.0,45,-460.99000000000007,441,0,0.8800597139838567,143,18,0,5,lambda=0.0
sarsa_lambda,0.0,46,-380.75999999999954,441,0,0.8775645626109997,131,8,1,5,lambda=0.0
sarsa_lambda,0.0,47,-126.70999999999985,339,1,0.8750764855085298,93,3,0,5,lambda=0.0
sarsa_lambda,0.0,48,-265.0500000000005,433,1,0.8725954626194267,119,11,2,5,lambda=0.0
