episodes,final_success_rate,final_mean_return,final_mean_steps,final_mean_wall_hits,final_mean_penalty_entries,lambda_label,seed,episodes_to_80pct
1200.0,0.78,31.956200000000027,168.505,18.81,1.32,lambda=0.0,5,801.0
1200.0,0.85,57.05525000000002,134.28,14.32,1.36,lambda=0.0,15,497.0
1200.0,0.83,49.548400000000036,146.065,15.62,1.315,lambda=0.0,25,759.0
1200.0,0.765,34.79405000000003,167.73,16.14,1.405,lambda=0.0,35,927.0
1200.0,0.675,5.449500000000038,208.85,21.585,1.08,lambda=0.0,45,894.0
1200.0,0.94,88.12145000000002,87.97,9.86,1.415,lambda=0.3,5,863.0
1200.0,0.93,88.90940000000002,83.41,9.09,1.51,lambda=0.3,15,738.0
1200.0,0.885,78.21105000000001,96.415,10.635,1.4,lambda=0.3,25,800.0
1200.0,0.94,93.17690000000002,78.095,8.115,1.49,lambda=0.3,35,682.0
1200.0,0.9,83.6971,93.985,8.495,1.465,lambda=0.3,45,738.0
1200.0,0.995,114.55240000000002,40.58,5.13,1.525,lambda=0.7,5,665.0
1200.0,1.0,116.38335000000001,41.39,4.57,1.41,lambda=0.7,15,628.0
1200.0,0.96,104.57860000000002,59.26,5.48,1.435,lambda=0.7,25,650.0
1200.0,0.97,113.50645,55.69,5.06,0.63,lambda=0.7,35,721.0
1200.0,0.71,50.7345000000001,158.59,5.905,0.855,lambda=0.7,45,854.0
1200.0,0.0,-107.49094999999977,441.0,4.47,0.31,lambda=0.9,5,inf
1200.0,0.0,-109.02684999999975,441.0,4.96,0.3,lambda=0.9,15,inf
1200.0,0.005,-108.34729999999972,439.075,5.93,0.3,lambda=0.9,25,inf
1200.0,0.025,-102.56714999999971,431.355,5.37,0.265,lambda=0.9,35,inf
1200.0,0.0,-108.23974999999967,441.0,4.695,0.25,lambda=0.9,45,inf
