episode,step,state,action,reward,next_state,next_action,q_before,bootstrap,delta,active_traces_before_decay,active_traces_after_decay,top_traces
0,1,"(14, 2, 0, 0)",3,-0.08999999999999986,"(14, 3, 0, 1)",2,0.0,0.0,-0.08999999999999986,1,1,"[('(np.int64(14), np.int64(2), np.int64(0), np.int64(0), np.int64(3))', 0.665)]"
0,2,"(14, 3, 0, 1)",2,-0.4799999999999997,"(14, 2, 0, 2)",1,0.0,0.0,-0.4799999999999997,2,2,"[('(np.int64(14), np.int64(3), np.int64(0), np.int64(1), np.int64(2))', 0.665), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(0), np.int64(3))', 0.442225)]"
0,3,"(14, 2, 0, 2)",1,-1.7799999999999998,"(14, 2, 0, 3)",2,0.0,0.0,-1.7799999999999998,3,3,"[('(np.int64(14), np.int64(2), np.int64(0), np.int64(2), np.int64(1))', 0.665), ('(np.int64(14), np.int64(3), np.int64(0), np.int64(1), np.int64(2))', 0.442225), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(0), np.int64(3))', 0.29407962)]"
0,4,"(14, 2, 0, 3)",2,-0.4699999999999996,"(14, 1, 0, 0)",1,0.0,0.0,-0.4699999999999996,4,4,"[('(np.int64(14), np.int64(2), np.int64(0), np.int64(3), np.int64(2))', 0.665), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(2), np.int64(1))', 0.442225), ('(np.int64(14), np.int64(3), np.int64(0), np.int64(1), np.int64(2))', 0.29407962), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(0), np.int64(3))', 0.19556295)]"
0,5,"(14, 1, 0, 0)",1,-1.7699999999999996,"(14, 1, 0, 1)",0,0.0,0.0,-1.7699999999999996,5,5,"[('(np.int64(14), np.int64(1), np.int64(0), np.int64(0), np.int64(1))', 0.665), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(3), np.int64(2))', 0.442225), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(2), np.int64(1))', 0.29407962), ('(np.int64(14), np.int64(3), np.int64(0), np.int64(1), np.int64(2))', 0.19556295), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(0), np.int64(3))', 0.13004936)]"
0,6,"(14, 1, 0, 1)",0,-0.07999999999999968,"(13, 1, 0, 2)",3,0.0,0.0,-0.07999999999999968,6,6,"[('(np.int64(14), np.int64(1), np.int64(0), np.int64(1), np.int64(0))', 0.665), ('(np.int64(14), np.int64(1), np.int64(0), np.int64(0), np.int64(1))', 0.442225), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(3), np.int64(2))', 0.29407962), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(2), np.int64(1))', 0.19556295), ('(np.int64(14), np.int64(3), np.int64(0), np.int64(1), np.int64(2))', 0.13004936), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(0), np.int64(3))', 0.08648283)]"
0,7,"(13, 1, 0, 2)",3,-7.09,"(13, 2, 0, 3)",1,0.0,0.0,-7.09,7,7,"[('(np.int64(13), np.int64(1), np.int64(0), np.int64(2), np.int64(3))', 0.665), ('(np.int64(14), np.int64(1), np.int64(0), np.int64(1), np.int64(0))', 0.442225), ('(np.int64(14), np.int64(1), np.int64(0), np.int64(0), np.int64(1))', 0.29407962), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(3), np.int64(2))', 0.19556295), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(2), np.int64(1))', 0.13004936), ('(np.int64(14), np.int64(3), np.int64(0), np.int64(1), np.int64(2))', 0.08648283)]"
0,8,"(13, 2, 0, 3)",1,-0.4799999999999997,"(13, 1, 0, 0)",1,0.0,0.0,-0.4799999999999997,8,8,"[('(np.int64(13), np.int64(2), np.int64(0), np.int64(3), np.int64(1))', 0.665), ('(np.int64(13), np.int64(1), np.int64(0), np.int64(2), np.int64(3))', 0.442225), ('(np.int64(14), np.int64(1), np.int64(0), np.int64(1), np.int64(0))', 0.29407962), ('(np.int64(14), np.int64(1), np.int64(0), np.int64(0), np.int64(1))', 0.19556295), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(3), np.int64(2))', 0.13004936), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(2), np.int64(1))', 0.08648283)]"
0,9,"(13, 1, 0, 0)",1,-0.4699999999999996,"(14, 1, 0, 1)",3,0.0,0.0,-0.4699999999999996,9,9,"[('(np.int64(13), np.int64(1), np.int64(0), np.int64(0), np.int64(1))', 0.665), ('(np.int64(13), np.int64(2), np.int64(0), np.int64(3), np.int64(1))', 0.442225), ('(np.int64(13), np.int64(1), np.int64(0), np.int64(2), np.int64(3))', 0.29407962), ('(np.int64(14), np.int64(1), np.int64(0), np.int64(1), np.int64(0))', 0.19556295), ('(np.int64(14), np.int64(1), np.int64(0), np.int64(0), np.int64(1))', 0.13004936), ('(np.int64(14), np.int64(2), np.int64(0), np.int64(3), np.int64(2))', 0.08648283)]"
0,10,"(14, 1, 0, 1)",3,-0.07999999999999968,"(14, 2, 0, 2)",3,0.0,0.0,-0.07999999999999968,10,10,"[('(np.int64(14), np.int64(1), np.int64(0), np.int64(1), np.int64(3))', 0.665), ('(np.int64(13), np.int64(1), np.int64(0), np.int64(0), np.int64(1))', 0.442225), ('(np.int64(13), np.int64(2), np.int64(0), np.int64(3), np.int64(1))', 0.29407962), ('(np.int64(13), np.int64(1), np.int64(0), np.int64(2), np.int64(3))', 0.19556295), ('(np.int64(14), np.int64(1), np.int64(0), np.int64(1), np.int64(0))', 0.13004936), ('(np.int64(14), np.int64(1), np.int64(0), np.int64(0), np.int64(1))', 0.08648283)]"
