algorithm,variant,episodes,mean_return,std_return,mean_steps,success_rate,mean_wall_hits,mean_penalty_entries,mean_gate_blocks,runtime_seconds,memory_bytes,policy_agreement,seed
Value Iteration,gamma=0.95,250.0,122.85936000000001,6.316201739022601,31.356,1.0,2.984,1.392,0.036,0.057830169000226306,83968,1.0,
Q-Learning,exponential,250.0,117.40740000000001,16.663151807284553,38.212,0.996,4.06,1.512,0.024,2.625084211000285,65536,0.49649532710280375,5.0
SARSA(lambda),0.7,250.0,114.83424000000002,27.603522555141502,43.852,0.988,4.38,1.44,0.112,6.901164444000187,65536,0.522196261682243,5.0
Q-Learning,exponential,250.0,121.67376000000002,8.638123742431468,39.344,1.0,4.768,0.772,0.0,3.4658655419998468,65536,0.5455607476635514,15.0
SARSA(lambda),0.7,250.0,119.0194,7.803755097032315,38.408,1.0,3.84,1.348,0.04,6.953506844999993,65536,0.5210280373831776,15.0
Q-Learning,exponential,250.0,118.85232,8.155680961475964,36.944,1.0,4.22,1.376,0.084,3.14298305300008,65536,0.5607476635514018,25.0
SARSA(lambda),0.7,250.0,102.86192000000001,52.953419345639766,67.196,0.948,4.892,1.324,0.528,7.447596528000304,65536,0.5198598130841121,25.0
Q-Learning,exponential,250.0,120.5048,6.709786845949153,34.568,1.0,3.656,1.364,0.2,2.7987373509999998,65536,0.530373831775701,35.0
SARSA(lambda),0.7,250.0,118.48628000000001,35.44214283188389,49.688,0.98,4.072,0.58,0.004,7.810825293000107,65536,0.5338785046728972,35.0
Q-Learning,exponential,250.0,119.15256,8.358686836394558,34.304,1.0,3.536,1.656,0.024,2.5264026509998985,65536,0.5560747663551402,45.0
SARSA(lambda),0.7,250.0,54.388680000000086,103.8245802520561,153.392,0.716,4.756,0.912,0.036,9.99101579399985,65536,0.5198598130841121,45.0
