target,scenario,mode,beta,initial_success_rate_mean,initial_success_rate_std,final_success_rate_mean,final_success_rate_std,final_mean_return_mean,policy_agreement_percent_mean,runtime_seconds_mean,total_samples_mean
different,full,full,,0.704,0.014282856857085677,1.0,0.0,83.10636875,57.73972602739726,3.0860586086999318,47542.4
different,scaled_beta_0.25,scaled,0.25,0.704,0.014282856857085677,1.0,0.0,83.0143125,66.23287671232876,3.2807195219995267,50265.8
different,scaled_beta_0.50,scaled,0.5,0.704,0.014282856857085677,1.0,0.0,83.19730625,63.082191780821915,3.7981716690999745,48593.3
different,scaled_beta_0.75,scaled,0.75,0.704,0.014282856857085677,1.0,0.0,83.615,59.52054794520548,5.4160122295001205,47465.6
different,scratch,scratch,,0.0,0.0,1.0,0.0,83.70921875,69.58904109589041,3.9725389896000705,61301.6
different,selective,selective,,0.0,0.0,1.0,0.0,83.70921875,69.58904109589041,4.206142772700332,61301.6
similar,full,full,,1.0,0.0,1.0,0.0,97.1479875,70.62111801242236,5.482540427700769,57298.1
similar,scaled_beta_0.25,scaled,0.25,1.0,0.0,1.0,0.0,97.7857625,73.54037267080744,3.8718893866000146,58243.8
similar,scaled_beta_0.50,scaled,0.5,1.0,0.0,1.0,0.0,97.32071875,71.36645962732919,3.684693011199852,57231.7
similar,scaled_beta_0.75,scaled,0.75,1.0,0.0,1.0,0.0,96.96464375,71.24223602484473,4.0225280621996715,57605.4
similar,scratch,scratch,,0.0,0.0,1.0,0.0,97.75694375,67.88819875776397,5.90888273799992,69304.7
similar,selective,selective,,0.0,0.0,1.0,0.0,97.5576375,72.29813664596273,4.373517088399967,68470.4
